artist,style,canonical_subgenres,confidence,status,country,city,stage,booking,official_names,evidence_tags,source_note,source_urls,social_discovery_links
DJ Hyperdrive,hard_trance,hard trance / eurotrance / rave,medium_high,published,,,GROOVE BEACH,DJ HYPERDRIVE,DJ HYPERDRIVE,,curated_known_artist_or_scene_source; stages: GROOVE BEACH. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=DJ%20Hyperdrive&type=artist&method=indexed;https://www.beatport.com/search?q=DJ%20Hyperdrive;https://www.discogs.com/search/?q=DJ%20Hyperdrive&type=all;https://soundcloud.com/search?q=DJ%20Hyperdrive;https://www.youtube.com/results?search_query=DJ%20Hyperdrive
DJ SIDEQUEST,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,DJ SIDEQUEST,DJ SIDEQUEST,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=DJ%20SIDEQUEST&type=artist&method=indexed;https://www.beatport.com/search?q=DJ%20SIDEQUEST;https://www.discogs.com/search/?q=DJ%20SIDEQUEST&type=all;https://soundcloud.com/search?q=DJ%20SIDEQUEST;https://www.youtube.com/results?search_query=DJ%20SIDEQUEST
DJ SONNENBRAND,hard_trance,bounce / hard trance / eurodance rave,medium_low,needs_review,,,BOUNCE TEMPLE,DJ SONNENBRAND B2B DJ WASSERFALL,DJ SONNENBRAND,,official_hive_stage_context; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=DJ%20SONNENBRAND&type=artist&method=indexed;https://www.beatport.com/search?q=DJ%20SONNENBRAND;https://www.discogs.com/search/?q=DJ%20SONNENBRAND&type=all;https://soundcloud.com/search?q=DJ%20SONNENBRAND;https://www.youtube.com/results?search_query=DJ%20SONNENBRAND
DJ Stingray,electro,Detroit electro / electro / techno,high,published,International,,JUNKYARD,DJ STINGRAY,DJ Stingray,detroit techno; electro,"curated_known_artist_or_scene_source; stages: JUNKYARD. MusicBrainz tags/disambiguation matched: detroit techno, electro. Official HIVE Junkyard stage context.",https://www.hive-festival.de/;https://musicbrainz.org/artist/b1f35ebc-7ba3-47de-a26e-1fe26f510f58,https://musicbrainz.org/search?query=DJ%20Stingray&type=artist&method=indexed;https://www.beatport.com/search?q=DJ%20Stingray;https://www.discogs.com/search/?q=DJ%20Stingray&type=all;https://soundcloud.com/search?q=DJ%20Stingray;https://www.youtube.com/results?search_query=DJ%20Stingray
DJ TALLBOY,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,DJ TALLBOY,DJ TALLBOY,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=DJ%20TALLBOY&type=artist&method=indexed;https://www.beatport.com/search?q=DJ%20TALLBOY;https://www.discogs.com/search/?q=DJ%20TALLBOY&type=all;https://soundcloud.com/search?q=DJ%20TALLBOY;https://www.youtube.com/results?search_query=DJ%20TALLBOY
DJ WASSERFALL,hard_trance,bounce / hard trance / eurodance rave,medium_low,needs_review,,,BOUNCE TEMPLE,DJ SONNENBRAND B2B DJ WASSERFALL,DJ WASSERFALL,,official_hive_stage_context; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=DJ%20WASSERFALL&type=artist&method=indexed;https://www.beatport.com/search?q=DJ%20WASSERFALL;https://www.discogs.com/search/?q=DJ%20WASSERFALL&type=all;https://soundcloud.com/search?q=DJ%20WASSERFALL;https://www.youtube.com/results?search_query=DJ%20WASSERFALL
DOMINIQUE LAMEE,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,DOMINIQUE LAMEE,DOMINIQUE LAMEE,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=DOMINIQUE%20LAMEE&type=artist&method=indexed;https://www.beatport.com/search?q=DOMINIQUE%20LAMEE;https://www.discogs.com/search/?q=DOMINIQUE%20LAMEE&type=all;https://soundcloud.com/search?q=DOMINIQUE%20LAMEE;https://www.youtube.com/results?search_query=DOMINIQUE%20LAMEE
DON ANDRES,disco_house,disco house / house / electro,medium_low,needs_review,,,DISCO FOREST,DON ANDRES & M.O.E. (LIVE SET),DON ANDRES,,official_hive_stage_context; stages: DISCO FOREST. Official HIVE Disco Forest stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=DON%20ANDRES&type=artist&method=indexed;https://www.beatport.com/search?q=DON%20ANDRES;https://www.discogs.com/search/?q=DON%20ANDRES&type=all;https://soundcloud.com/search?q=DON%20ANDRES;https://www.youtube.com/results?search_query=DON%20ANDRES
DONCHOPPA,hard_trance,bounce / hard trance / eurodance rave,medium_low,needs_review,,,BOUNCE TEMPLE,ANUUK & DONCHOPPA (LIVE),DONCHOPPA,,official_hive_stage_context; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=DONCHOPPA&type=artist&method=indexed;https://www.beatport.com/search?q=DONCHOPPA;https://www.discogs.com/search/?q=DONCHOPPA&type=all;https://soundcloud.com/search?q=DONCHOPPA;https://www.youtube.com/results?search_query=DONCHOPPA
DORUKSEN,acid_techno,acid techno,high,published,,,SLEEPLESS,DORUKSEN,DORUKSEN,acid techno,musicbrainz_artist_tags; stages: SLEEPLESS. MusicBrainz tags/disambiguation matched: acid techno. Official HIVE Sleepless stage context.,https://www.hive-festival.de/;https://musicbrainz.org/artist/05724f21-9286-4d67-aa5d-c2269b4997dd,https://musicbrainz.org/search?query=DORUKSEN&type=artist&method=indexed;https://www.beatport.com/search?q=DORUKSEN;https://www.discogs.com/search/?q=DORUKSEN&type=all;https://soundcloud.com/search?q=DORUKSEN;https://www.youtube.com/results?search_query=DORUKSEN
Dr. Donk,hardcore,uptempo hardcore / hard dance,medium_high,published,,,RAGE CAGE,DR. DONK,DR. DONK,,curated_known_artist_or_scene_source; stages: RAGE CAGE. Official HIVE Rage Cage stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Dr.%20Donk&type=artist&method=indexed;https://www.beatport.com/search?q=Dr.%20Donk;https://www.discogs.com/search/?q=Dr.%20Donk&type=all;https://soundcloud.com/search?q=Dr.%20Donk;https://www.youtube.com/results?search_query=Dr.%20Donk
Dr. Peacock,frenchcore,frenchcore / hardcore,high,published,France,,RAGE CAGE,DR. PEACOCK,Dr. Peacock,frenchcore; hardcore; hardcore techno,"curated_known_artist_or_scene_source; stages: RAGE CAGE. MusicBrainz tags/disambiguation matched: frenchcore, hardcore, hardcore techno. Official HIVE Rage Cage stage context.",https://www.hive-festival.de/;https://musicbrainz.org/artist/6d138947-ffb5-4da2-874b-9d97577f8b6c,https://musicbrainz.org/search?query=Dr.%20Peacock&type=artist&method=indexed;https://www.beatport.com/search?q=Dr.%20Peacock;https://www.discogs.com/search/?q=Dr.%20Peacock&type=all;https://soundcloud.com/search?q=Dr.%20Peacock;https://www.youtube.com/results?search_query=Dr.%20Peacock
Drip Drop,progressive_psy,progressive psytrance / psytrance,medium_high,published,International,,PSY LAGOON,DRIP DROP,DRIP DROP,,curated_known_artist_or_scene_source; stages: PSY LAGOON. Official HIVE Psy Lagoon stage context.,https://www.hive-festival.de/;https://forestdelic.bandcamp.com/music,https://musicbrainz.org/search?query=Drip%20Drop&type=artist&method=indexed;https://www.beatport.com/search?q=Drip%20Drop;https://www.discogs.com/search/?q=Drip%20Drop&type=all;https://soundcloud.com/search?q=Drip%20Drop;https://www.youtube.com/results?search_query=Drip%20Drop
Dual Damage,rawstyle,rawstyle / hardstyle,high,published,,,RAGE CAGE,DUAL DAMAGE,DUAL DAMAGE,,curated_known_artist_or_scene_source; stages: RAGE CAGE. Official HIVE Rage Cage stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Dual%20Damage&type=artist&method=indexed;https://www.beatport.com/search?q=Dual%20Damage;https://www.discogs.com/search/?q=Dual%20Damage&type=all;https://soundcloud.com/search?q=Dual%20Damage;https://www.youtube.com/results?search_query=Dual%20Damage
DVAID,hard_trance,bounce / hard trance / eurodance rave,medium_low,needs_review,,,BOUNCE TEMPLE; WARM-UP PARTY,DVAID b2b DETOXX; WILDERÍCH B2B GIØ F2F DVAID B2B HUMAN ERROR,DVAID,,official_hive_stage_context; stages: BOUNCE TEMPLE; WARM-UP PARTY. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=DVAID&type=artist&method=indexed;https://www.beatport.com/search?q=DVAID;https://www.discogs.com/search/?q=DVAID&type=all;https://soundcloud.com/search?q=DVAID;https://www.youtube.com/results?search_query=DVAID
DYEN,hard_techno,hard techno / industrial techno,high,published,International,,TECHNO CASTLE,DYEN,DYEN,hard techno; industrial techno,"curated_known_artist_or_scene_source; stages: TECHNO CASTLE. MusicBrainz tags/disambiguation matched: hard techno, industrial techno. Official HIVE Techno Castle stage context.",https://www.hive-festival.de/;https://musicbrainz.org/artist/3a46e5d7-042d-46c3-82ea-b999fe556426,https://musicbrainz.org/search?query=DYEN&type=artist&method=indexed;https://www.beatport.com/search?q=DYEN;https://www.discogs.com/search/?q=DYEN&type=all;https://soundcloud.com/search?q=DYEN;https://www.youtube.com/results?search_query=DYEN
ECZODIA,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,ECZODIA,ECZODIA,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=ECZODIA&type=artist&method=indexed;https://www.beatport.com/search?q=ECZODIA;https://www.discogs.com/search/?q=ECZODIA&type=all;https://soundcloud.com/search?q=ECZODIA;https://www.youtube.com/results?search_query=ECZODIA
Electric Universe,full_on_morning,full-on psytrance / goa trance,high,published,Germany,,PSY LAGOON,ELECTRIC UNIVERSE,ELECTRIC UNIVERSE,psytrance,curated_known_artist_or_scene_source; stages: PSY LAGOON. MusicBrainz tags/disambiguation matched: psytrance. Official HIVE Psy Lagoon stage context.,https://www.hive-festival.de/;https://musicbrainz.org/artist/c4acef6a-1835-4da4-bdea-ba3b789dd36d,https://musicbrainz.org/search?query=Electric%20Universe&type=artist&method=indexed;https://www.beatport.com/search?q=Electric%20Universe;https://www.discogs.com/search/?q=Electric%20Universe&type=all;https://soundcloud.com/search?q=Electric%20Universe;https://www.youtube.com/results?search_query=Electric%20Universe
Ellen Allien,techno,techno / electro / acid techno,high,published,DE,Berlin,JUNKYARD,ELLEN ALLIEN,ELLEN ALLIEN,acid techno; electro; techno,"curated_known_artist_or_scene_source; stages: JUNKYARD. MusicBrainz tags/disambiguation matched: acid techno, electro, techno. Official HIVE Junkyard stage context.",https://www.hive-festival.de/;https://musicbrainz.org/artist/2ff63f00-0954-4b14-9007-e19b822fc8b2,https://musicbrainz.org/search?query=Ellen%20Allien&type=artist&method=indexed;https://www.beatport.com/search?q=Ellen%20Allien;https://www.discogs.com/search/?q=Ellen%20Allien&type=all;https://soundcloud.com/search?q=Ellen%20Allien;https://www.youtube.com/results?search_query=Ellen%20Allien
Elli Acula,techno,techno / electro / breakbeat,medium_high,published,,,JUNKYARD,ELLI ACULA,ELLI ACULA,,curated_known_artist_or_scene_source; stages: JUNKYARD. Official HIVE Junkyard stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Elli%20Acula&type=artist&method=indexed;https://www.beatport.com/search?q=Elli%20Acula;https://www.discogs.com/search/?q=Elli%20Acula&type=all;https://soundcloud.com/search?q=Elli%20Acula;https://www.youtube.com/results?search_query=Elli%20Acula
ELMEFTI,hardcore,hard dance / hardcore / rawstyle,medium,published,,,RAGE CAGE,ELMEFTI,ELMEFTI,,official_hive_stage_context; stages: RAGE CAGE. Official HIVE Rage Cage stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=ELMEFTI&type=artist&method=indexed;https://www.beatport.com/search?q=ELMEFTI;https://www.discogs.com/search/?q=ELMEFTI&type=all;https://soundcloud.com/search?q=ELMEFTI;https://www.youtube.com/results?search_query=ELMEFTI
ELOISA,techno,queer techno / club rave / hard groove,low,needs_review,,,LIBIDOH LAB,ELOISA,ELOISA,,official_hive_stage_context; stages: LIBIDOH LAB. Official HIVE Libidoh Lab stage context only.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=ELOISA&type=artist&method=indexed;https://www.beatport.com/search?q=ELOISA;https://www.discogs.com/search/?q=ELOISA&type=all;https://soundcloud.com/search?q=ELOISA;https://www.youtube.com/results?search_query=ELOISA
Elotrance,hard_trance,hard trance / trance / eurodance rave,medium_high,published,,,BOUNCE TEMPLE; GROOVE BEACH,ALBA FRANCH B2B ELOTRANCE; JUSTIN TINDERDATE B2B ELOTRANCE,ELOTRANCE,,curated_known_artist_or_scene_source; stages: BOUNCE TEMPLE; GROOVE BEACH. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Elotrance&type=artist&method=indexed;https://www.beatport.com/search?q=Elotrance;https://www.discogs.com/search/?q=Elotrance&type=all;https://soundcloud.com/search?q=Elotrance;https://www.youtube.com/results?search_query=Elotrance
EPHY PINKMAN,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,EPHY PINKMAN,EPHY PINKMAN,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=EPHY%20PINKMAN&type=artist&method=indexed;https://www.beatport.com/search?q=EPHY%20PINKMAN;https://www.discogs.com/search/?q=EPHY%20PINKMAN&type=all;https://soundcloud.com/search?q=EPHY%20PINKMAN;https://www.youtube.com/results?search_query=EPHY%20PINKMAN
EREBOS,techno,queer techno / club rave / hard groove,low,needs_review,,,LIBIDOH LAB,EREBOS,EREBOS,,official_hive_stage_context; stages: LIBIDOH LAB. Official HIVE Libidoh Lab stage context only.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=EREBOS&type=artist&method=indexed;https://www.beatport.com/search?q=EREBOS;https://www.discogs.com/search/?q=EREBOS&type=all;https://soundcloud.com/search?q=EREBOS;https://www.youtube.com/results?search_query=EREBOS
FABIENNE GEHTHARDT,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,FABIENNE GEHTHARDT,FABIENNE GEHTHARDT,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=FABIENNE%20GEHTHARDT&type=artist&method=indexed;https://www.beatport.com/search?q=FABIENNE%20GEHTHARDT;https://www.discogs.com/search/?q=FABIENNE%20GEHTHARDT&type=all;https://soundcloud.com/search?q=FABIENNE%20GEHTHARDT;https://www.youtube.com/results?search_query=FABIENNE%20GEHTHARDT
Fabio Fusco,progressive_psy,progressive psytrance / festival psytrance,high,published,International,,PSY LAGOON,FABIO FUSCO,FABIO FUSCO,psytrance,curated_known_artist_or_scene_source; stages: PSY LAGOON. MusicBrainz tags/disambiguation matched: psytrance. Official HIVE Psy Lagoon stage context.,https://www.hive-festival.de/;https://musicbrainz.org/artist/129d3352-96ab-4b8b-8edb-6260b184aca0,https://musicbrainz.org/search?query=Fabio%20Fusco&type=artist&method=indexed;https://www.beatport.com/search?q=Fabio%20Fusco;https://www.discogs.com/search/?q=Fabio%20Fusco&type=all;https://soundcloud.com/search?q=Fabio%20Fusco;https://www.youtube.com/results?search_query=Fabio%20Fusco
Fantasm,hard_techno,hard techno / industrial techno,high,published,,,TECHNO CASTLE,FANTASM B2B KLOFAMA,FANTASM,hard techno,curated_known_artist_or_scene_source; stages: TECHNO CASTLE. MusicBrainz tags/disambiguation matched: hard techno. Official HIVE Techno Castle stage context.,https://www.hive-festival.de/;https://musicbrainz.org/artist/2a9a57ff-0283-4114-aaf3-68b2a465b8d1,https://musicbrainz.org/search?query=Fantasm&type=artist&method=indexed;https://www.beatport.com/search?q=Fantasm;https://www.discogs.com/search/?q=Fantasm&type=all;https://soundcloud.com/search?q=Fantasm;https://www.youtube.com/results?search_query=Fantasm
FARSEER,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,FARSEER,FARSEER,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=FARSEER&type=artist&method=indexed;https://www.beatport.com/search?q=FARSEER;https://www.discogs.com/search/?q=FARSEER&type=all;https://soundcloud.com/search?q=FARSEER;https://www.youtube.com/results?search_query=FARSEER
FASTER HORSES,hard_trance,bounce / hard trance / eurodance rave,medium_low,needs_review,,,BOUNCE TEMPLE,VAGABUND B2B FASTER HORSES,FASTER HORSES,,official_hive_stage_context; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=FASTER%20HORSES&type=artist&method=indexed;https://www.beatport.com/search?q=FASTER%20HORSES;https://www.discogs.com/search/?q=FASTER%20HORSES&type=all;https://soundcloud.com/search?q=FASTER%20HORSES;https://www.youtube.com/results?search_query=FASTER%20HORSES
FELICIE,hard_techno,hard techno / industrial techno / schranz,medium,published,,,TECHNO CASTLE,FELICIE,FELICIE,,official_hive_stage_context; stages: TECHNO CASTLE. Official HIVE Techno Castle stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=FELICIE&type=artist&method=indexed;https://www.beatport.com/search?q=FELICIE;https://www.discogs.com/search/?q=FELICIE&type=all;https://soundcloud.com/search?q=FELICIE;https://www.youtube.com/results?search_query=FELICIE
FENRICK,hard_techno,hard techno,high,published,FR,,GROOVE BEACH,FENRICK,FENRICK,acid techno; hard techno,"musicbrainz_artist_tags; stages: GROOVE BEACH. MusicBrainz tags/disambiguation matched: acid techno, hard techno. Official HIVE Groove Beach stage context; individual artist check recommended.",https://www.hive-festival.de/;https://musicbrainz.org/artist/d5c3e49b-8481-434b-9a3f-baf6cb8eb7b8,https://musicbrainz.org/search?query=FENRICK&type=artist&method=indexed;https://www.beatport.com/search?q=FENRICK;https://www.discogs.com/search/?q=FENRICK&type=all;https://soundcloud.com/search?q=FENRICK;https://www.youtube.com/results?search_query=FENRICK
FJAAK,techno,techno / electro / breakbeat,high,published,Germany,Berlin,JUNKYARD,FJAAK,FJAAK,electro; techno,"curated_known_artist_or_scene_source; stages: JUNKYARD. MusicBrainz tags/disambiguation matched: electro, techno. Official HIVE Junkyard stage context.",https://www.hive-festival.de/;https://musicbrainz.org/artist/56acaa47-eb2f-43d7-a1f1-19466c550e31,https://musicbrainz.org/search?query=FJAAK&type=artist&method=indexed;https://www.beatport.com/search?q=FJAAK;https://www.discogs.com/search/?q=FJAAK&type=all;https://soundcloud.com/search?q=FJAAK;https://www.youtube.com/results?search_query=FJAAK
FRANCIS FF,disco_house,disco house / house / electro,medium_low,needs_review,,,DISCO FOREST,FRANCIS FF,FRANCIS FF,,official_hive_stage_context; stages: DISCO FOREST. Official HIVE Disco Forest stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=FRANCIS%20FF&type=artist&method=indexed;https://www.beatport.com/search?q=FRANCIS%20FF;https://www.discogs.com/search/?q=FRANCIS%20FF&type=all;https://soundcloud.com/search?q=FRANCIS%20FF;https://www.youtube.com/results?search_query=FRANCIS%20FF
Freddy K,techno,techno / Berlin techno,high,published,International,,JUNKYARD,FREDDY K,FREDDY K,,curated_known_artist_or_scene_source; stages: JUNKYARD. Official HIVE Junkyard stage context.,https://www.hive-festival.de/;https://www.discogs.com/search/?q=techno&type=all,https://musicbrainz.org/search?query=Freddy%20K&type=artist&method=indexed;https://www.beatport.com/search?q=Freddy%20K;https://www.discogs.com/search/?q=Freddy%20K&type=all;https://soundcloud.com/search?q=Freddy%20K;https://www.youtube.com/results?search_query=Freddy%20K
FRONS,hard_trance,bounce / hard trance / eurodance rave,medium_low,needs_review,,,BOUNCE TEMPLE,ZWILLING. B2B ACHIM FEUERVOGEL FEAT. FRONS,FRONS,,official_hive_stage_context; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=FRONS&type=artist&method=indexed;https://www.beatport.com/search?q=FRONS;https://www.discogs.com/search/?q=FRONS&type=all;https://soundcloud.com/search?q=FRONS;https://www.youtube.com/results?search_query=FRONS
FUMI,hard_trance,neo-rave / hard trance / eurodance trance,medium_low,needs_review,,,GROOVE BEACH; WARM-UP PARTY,FUMI; FUMI F2F ÜBERKIKZ,FUMI,,official_hive_stage_context; stages: GROOVE BEACH; WARM-UP PARTY. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=FUMI&type=artist&method=indexed;https://www.beatport.com/search?q=FUMI;https://www.discogs.com/search/?q=FUMI&type=all;https://soundcloud.com/search?q=FUMI;https://www.youtube.com/results?search_query=FUMI
Fungus Funk,full_on_night,night full-on psytrance,high,published,Russia,,PSY LAGOON,FUNGUS FUNK,FUNGUS FUNK,psychedelic trance,curated_known_artist_or_scene_source; stages: PSY LAGOON. MusicBrainz tags/disambiguation matched: psychedelic trance. Official HIVE Psy Lagoon stage context.,https://www.hive-festival.de/;https://musicbrainz.org/artist/4bdd317f-614c-48b0-9351-adcfd1d07ef6,https://musicbrainz.org/search?query=Fungus%20Funk&type=artist&method=indexed;https://www.beatport.com/search?q=Fungus%20Funk;https://www.discogs.com/search/?q=Fungus%20Funk&type=all;https://soundcloud.com/search?q=Fungus%20Funk;https://www.youtube.com/results?search_query=Fungus%20Funk
Funk Tribu,hard_trance,trance / hard trance / eurodance rave,medium_high,published,,,GROOVE BEACH,FUNK TRIBU,FUNK TRIBU,,curated_known_artist_or_scene_source; stages: GROOVE BEACH. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Funk%20Tribu&type=artist&method=indexed;https://www.beatport.com/search?q=Funk%20Tribu;https://www.discogs.com/search/?q=Funk%20Tribu&type=all;https://soundcloud.com/search?q=Funk%20Tribu;https://www.youtube.com/results?search_query=Funk%20Tribu
Future.666,hard_trance,hard trance / rave techno,medium_high,published,,,GROOVE BEACH,FUTURE.666,FUTURE.666,,curated_known_artist_or_scene_source; stages: GROOVE BEACH. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Future.666&type=artist&method=indexed;https://www.beatport.com/search?q=Future.666;https://www.discogs.com/search/?q=Future.666&type=all;https://soundcloud.com/search?q=Future.666;https://www.youtube.com/results?search_query=Future.666
GEHLEKTEK,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,GEHLEKTEK(LIVE),GEHLEKTEK,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=GEHLEKTEK&type=artist&method=indexed;https://www.beatport.com/search?q=GEHLEKTEK;https://www.discogs.com/search/?q=GEHLEKTEK&type=all;https://soundcloud.com/search?q=GEHLEKTEK;https://www.youtube.com/results?search_query=GEHLEKTEK
GEORGE RADSPORT,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,GEORGE RADSPORT,GEORGE RADSPORT,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=GEORGE%20RADSPORT&type=artist&method=indexed;https://www.beatport.com/search?q=GEORGE%20RADSPORT;https://www.discogs.com/search/?q=GEORGE%20RADSPORT&type=all;https://soundcloud.com/search?q=GEORGE%20RADSPORT;https://www.youtube.com/results?search_query=GEORGE%20RADSPORT
Ghost Rider,progressive_psy,progressive psytrance / psytrance,high,published,International,,PSY LAGOON,GHOST RIDER,GHOST RIDER,psychedelic trance; psytrance,"curated_known_artist_or_scene_source; stages: PSY LAGOON. MusicBrainz tags/disambiguation matched: psychedelic trance, psytrance. Official HIVE Psy Lagoon stage context.",https://www.hive-festival.de/;https://musicbrainz.org/artist/b408cb32-8782-4331-a867-ab333ff8ffa6,https://musicbrainz.org/search?query=Ghost%20Rider&type=artist&method=indexed;https://www.beatport.com/search?q=Ghost%20Rider;https://www.discogs.com/search/?q=Ghost%20Rider&type=all;https://soundcloud.com/search?q=Ghost%20Rider;https://www.youtube.com/results?search_query=Ghost%20Rider
GI.O,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,GI.O,GI.O,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=GI.O&type=artist&method=indexed;https://www.beatport.com/search?q=GI.O;https://www.discogs.com/search/?q=GI.O&type=all;https://soundcloud.com/search?q=GI.O;https://www.youtube.com/results?search_query=GI.O
GIØ,hard_trance,bounce / hard trance / eurodance rave,medium_low,needs_review,,,BOUNCE TEMPLE; WARM-UP PARTY,GIØ B2B DICE; WILDERÍCH B2B GIØ F2F DVAID B2B HUMAN ERROR,GIØ,,official_hive_stage_context; stages: BOUNCE TEMPLE; WARM-UP PARTY. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=GI%C3%98&type=artist&method=indexed;https://www.beatport.com/search?q=GI%C3%98;https://www.discogs.com/search/?q=GI%C3%98&type=all;https://soundcloud.com/search?q=GI%C3%98;https://www.youtube.com/results?search_query=GI%C3%98
GMS,full_on,full-on psytrance / psytrance,high,published,International,,PSY LAGOON,GMS,GMS,,curated_known_artist_or_scene_source; stages: PSY LAGOON. Official HIVE Psy Lagoon stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=GMS&type=artist&method=indexed;https://www.beatport.com/search?q=GMS;https://www.discogs.com/search/?q=GMS&type=all;https://soundcloud.com/search?q=GMS;https://www.youtube.com/results?search_query=GMS
GOLANSKI,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,ANAÏS-LIN B2B GOLANSKI,GOLANSKI,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=GOLANSKI&type=artist&method=indexed;https://www.beatport.com/search?q=GOLANSKI;https://www.discogs.com/search/?q=GOLANSKI&type=all;https://soundcloud.com/search?q=GOLANSKI;https://www.youtube.com/results?search_query=GOLANSKI
Gonzi,psy_comercial,festival psytrance / psytrance,medium_high,published,,,PSY LAGOON,GONZI,GONZI,psytrance; trance,"curated_known_artist_or_scene_source; stages: PSY LAGOON. MusicBrainz tags/disambiguation matched: psytrance, trance. Official HIVE Psy Lagoon stage context.",https://www.hive-festival.de/;https://musicbrainz.org/artist/cf1fbf57-b61b-46e2-be94-fb437000eb00,https://musicbrainz.org/search?query=Gonzi&type=artist&method=indexed;https://www.beatport.com/search?q=Gonzi;https://www.discogs.com/search/?q=Gonzi&type=all;https://soundcloud.com/search?q=Gonzi;https://www.youtube.com/results?search_query=Gonzi
